city,records,top,top_std,rh,rh_std,twb,vel,met,clo,clo_std,tsv,tsv_std,tcv,tcv_std,tav,t_out,t_out_min,latitude,tsr,tn_op,p_dh,p_nv
ShaanxiXi'an,1686,23.04,3.04,21.92,16.44,11.13,0.04,1.14,0.73,0.34,0.52,1.01,1.65,0.76,0.16,2.82,3.1,34.26,0.76,21.73,0.7,0.0
HenanLuoyang,45,19.04,2.73,30.62,4.58,10.99,0.0,1.0,1.05,0.3,-0.18,1.01,1.47,0.79,0.58,5.8,0.8,34.62,0.93,19.48,0.0,0.04
HenanZhengzhou,96,22.3,3.8,28.9,6.1,13.11,0.0,1.01,1.19,0.29,0.66,1.26,1.5,0.7,0.58,5.8,0.8,34.75,0.67,20.66,0.04,0.0
HenanKaifeng,1,13.0,,50.0,,7.7,0.0,0.8,0.42,,0.0,,1.0,,1.0,,0.6,34.79,1.0,13.0,0.0,1.0
HenanJiaozuo,888,16.8,4.11,49.04,13.46,10.67,0.02,1.1,1.19,0.37,-0.26,0.61,1.39,0.51,,,1.5,35.24,0.98,17.44,1.0,0.0
ShandongXintai,3,22.83,0.6,31.0,9.54,13.03,0.0,0.9,0.69,0.57,0.33,0.58,1.0,0.0,1.0,,-7.4,35.9,1.0,22.0,1.0,0.0
ShandongQingdao,1,23.0,,27.0,,12.5,0.0,1.0,0.5,,1.0,,1.0,,1.0,,0.1,36.07,1.0,20.5,1.0,0.0
HebeiHandan,26,19.3,3.43,35.81,7.55,11.24,0.0,0.98,1.45,0.3,-0.38,0.64,1.19,0.4,0.85,3.18,-0.8,36.62,0.92,20.26,1.0,0.0
ShanxiLvliangfenyang,9,21.13,1.22,40.56,3.24,13.3,0.0,0.97,0.41,0.07,-0.22,0.67,1.22,0.44,0.66,,-4.8,37.51,1.0,21.69,1.0,0.0
ShandongYantai,7,25.67,1.99,34.0,8.93,15.74,0.0,1.1,0.8,0.44,0.86,0.9,1.43,0.53,0.74,,-1.3,37.53,0.71,23.53,0.86,0.14
LiaoningDalian,1703,22.46,2.27,36.87,10.76,13.71,0.0,0.99,0.98,0.36,0.29,0.98,1.38,0.57,0.62,0.83,-3.4,38.92,0.85,21.72,0.8,0.0
Tianjin,730,24.5,1.9,27.41,6.71,13.7,0.02,1.16,0.81,0.25,0.22,0.74,1.45,0.62,0.22,1.8,-3.3,39.12,0.95,23.94,0.98,0.0
Beijing,651,22.07,2.97,28.61,11.76,12.57,0.07,1.06,0.92,0.45,-0.03,0.92,1.57,0.63,0.32,5.81,-2.8,39.9,0.86,22.14,0.76,0.0
Baotou,303,19.28,3.66,36.36,14.97,11.44,0.05,1.07,0.34,0.17,0.02,0.92,1.47,0.61,0.35,-8.6,-10.4,40.65,0.9,19.24,1.0,0.0
Hohhot,12,20.73,0.63,36.83,1.7,12.44,0.0,0.96,0.51,0.09,-0.33,0.49,1.25,0.45,0.46,,-10.7,40.82,1.0,21.57,1.0,0.0
LiaoningBenxi,22,19.74,2.6,41.09,13.8,12.15,0.0,0.96,1.04,0.34,-0.14,1.36,1.41,0.59,0.61,-0.91,-10.9,41.29,0.73,20.08,1.0,0.0
Turpan,283,19.44,2.8,33.9,14.18,9.79,0.02,1.19,1.42,0.4,-0.03,0.79,1.16,0.41,0.49,-7.52,-6.5,42.94,0.92,19.52,0.0,0.19
HeilongjiangHarbin,3552,22.71,2.63,32.61,10.32,13.47,0.04,1.01,0.92,0.32,0.29,1.05,1.62,0.74,0.75,-7.17,-17.4,45.75,0.82,21.97,1.0,0.0
